PMID, Ack, Gender 
19189978, Gerry Rubin,male
19189978, Julie Simpson,female
19189978, Frank Midgley,male
19189978, Zongcai Ruan,???
19189978, Margaret Jefferies,female
19321733, Yang Zhang,???
19321733, Bong-Hyun Kim,both
19289445, Adam Phillippy,male
19289445, Geo Pertea,male
19289445, Ben Langmead,male
19289445, Kasper Hansen,???
19289445, Angela Brooks,female
19289445, Ali Mortazavi,male
19289445, Diane Trout,female
19289445, Ali Mortazavi,male
19289445, Brian Williams,male
19289445, Kenneth McCue,male
19289445, Lorian Schaeffer,???
19289445, Barbara Wold,female
19261719, Hayes,male
19261719, Berg,???
19261719, P Prorok,???
19261719, Mr T Riley,male
19261719, O'Brien,???
19261719, Kopp,???
19261719, Shao,???
19151095, James Cuff,both
19151095, Steve Searle Andreas Prlic,male
19151095, Jalview,???
19276151, Giovanni Parmigiani,male
19276151, Leslie Cope,both
19276151, Dan Naiman,male
19251773, Maria Schilstra,female
19251773, Mutanom,???
19744994, Welch,???
19744996, Qi Liu,???
19744996, Juan Cui,male
19633097, Dan Boutz,male
19633097, Insuk Lee,both
19633097, Lukas Kall,male
19633097, Inderjit Dhillon,???
19633097, Prateek Jain,???
19633097, Raghu Meka,???
19633097, Martin Blom,male
19633097, Lee Thompson,both
19633097, Lilyana Mihalkova,female
19633097, Prof Raymond Mooney,male
19633097, Welch,???
19656951, Ian Holmes,male
19656951, Manolis Kellis,???
19744993, Manjula Thimma,???
19744993, Ruth Lovering,female
19744993, Varsha Khodiyar,???
19689953, Michael Newton,male
19561018, Birney,???
19561018, Fritz,male
19561018, Schuster,???
19561018, Walter,male
19561018, Zhang,???
19542156, Yoav Gilad,???
19542156, Marioni,???
19574287, Gregory Butler,male
19574287, Johannes Jaeger,???
19574287, David McMillen,male
19574287, Peter Swain,male
19620096, Dr Ashwini Patil,???
19620096, Science,???
19654113, Eric Blossom,male
19654113, Steve Chervitz,male
19654113, Ed Erwin,male
19654113, Cyrus Harmon,male
19654113, Ehsan Tabari,???
19654113, David Nix Adam English,male
19700477, Luc V de Zeeuw,male
19700477, Rob de Graaf,male
19633095, Anthony Maher,male
19633095, Derek Crockford,male
19633095, Magnus ?berg,male
19633095, Severine Zirah,???
19633095, Marc E Dumas,male
19633095, Anna Asplund,female
19633095, Erik Bj?rling,male
19633095, Susanne Schwonbeck,female
19633095, Jens Lamerz,male
19633095, Andreas Petri,male
19633095, Kristian Almstrup,male
19633095, Matthias Schuster,male
19633095, Dimo Dietrich,???
19633095, Florian Eckhardt,male
19633095, Leena Peltonen,???
19633095, Huei-Yi Shen,???
19633095, Inga Prokopenko,female
19633095, Cecilia Lindgren,female
19633095, Samuli Ripatti,???
